unix,low,high,open,close,volume,date
1559692800,100,106,102.13,103.79,247030.9656,6/5/2019
1559606400,97.05,106.34,105.75,102.14,527950.9401,6/4/2019
1559520000,104.59,116.11,114.68,105.87,315766.866,6/3/2019
1559433600,111.9,116.65,112.52,114.55,161044.481,6/2/2019
1559347200,111,116.11,114.45,112.48,222671.9349,6/1/2019
1559260800,104.47,114.8,108.02,114.47,262101.3932,5/31/2019
1559174400,101.7,121,115.26,107.95,604579.8028,5/30/2019
1559088000,108.52,118.49,114.92,115.29,313917.4426,5/29/2019
1559001600,111.58,118.21,116.5,114.95,298167.6423,5/28/2019
1558915200,110.58,122,112.52,116.5,602778.4306,5/27/2019
1558828800,99,114.5,103.11,112.56,410013.4361,5/26/2019
1558742400,98.8,104.95,100.66,103.02,288436.4148,5/25/2019
1558656000,88.21,103.9,88.99,100.5,576361.5671,5/24/2019
1558569600,84.75,89.87,87.65,88.95,170514.9092,5/23/2019
1558483200,85.65,92.58,91.25,87.72,259291.7791,5/22/2019
1558396800,89.46,93.5,91.76,91.25,164062.3651,5/21/2019
1558310400,87.34,95.09,95.03,91.69,281703.8824,5/20/2019
1558224000,86.24,97.28,86.66,95.06,373515.1892,5/19/2019
1558137600,85.2,90.61,89.88,86.65,172761.066,5/18/2019
1558051200,84,97.55,95.69,89.88,588672.0163,5/17/2019
1557964800,90.81,107.6,102.25,95.75,801323.8792,5/16/2019
1557878400,90.5,104.49,91.62,102.26,741616.3177,5/15/2019
1557792000,85.61,94.44,87.78,91.69,529694.1989,5/14/2019
1557705600,84.11,93.48,84.78,87.78,554268.2988,5/13/2019
1557619200,83,94.3,88.3,84.79,677601.4415,5/12/2019
1557532800,76.68,95.99,76.68,88.31,759605.9517,5/11/2019
1557446400,72.38,79.24,73.77,76.68,267068.8621,5/10/2019
1557360000,72.2,75.59,73.85,73.76,177059.3854,5/9/2019
1557273600,71.31,75,73.36,73.83,153243.2536,5/8/2019
1557187200,72.6,77.9,74.1,73.33,236492.7191,5/7/2019
1557100800,70.55,76.09,74.81,74.09,180125.4892,5/6/2019
1557014400,74.4,77.33,77,74.79,85791.07757,5/5/2019
1556928000,73.5,81.5,77.8,76.92,207124.6901,5/4/2019
1556841600,71.94,79.87,72.2,77.72,216168.9361,5/3/2019
1556755200,71.36,73.4,72.51,72.16,82014.90615,5/2/2019
1556668800,71,74.9,73.52,72.52,148796.0855,5/1/2019
1556582400,66.55,74,66.55,73.51,213434.9311,4/30/2019
1556496000,64.86,68.36,67.74,66.55,126454.7414,4/29/2019
1556409600,66.77,70.83,70.55,67.78,165526.5454,4/28/2019
1556323200,70.19,71.83,71.68,70.55,72475.19817,4/27/2019
1556236800,68.88,73.5,70.59,71.64,224831.4478,4/26/2019
1556150400,68.88,74.73,73.15,70.67,201385.4596,4/25/2019
1556064000,70.26,75.14,74.18,73.14,296799.4196,4/24/2019
1555977600,73.87,79.77,76.98,74.32,202891.4644,4/23/2019
1555891200,75.4,78.3,77.27,76.93,155535.3103,4/22/2019
1555804800,73.54,82.4,81.61,77.23,210576.3077,4/21/2019
1555718400,79.66,83.08,82.6,81.69,98583.47571,4/20/2019
1555632000,80.02,83.73,82.08,82.57,133323.1656,4/19/2019
1555545600,79.14,83.9,79.15,82.07,179703.0455,4/18/2019
1555459200,78.52,82.18,80.82,79.15,108204.9253,4/17/2019
1555372800,77.18,81.86,78.17,80.89,150296.555,4/16/2019
1555286400,74.95,84.73,83.77,78.24,262799.5691,4/15/2019
1555200000,76.5,83.94,77.89,83.77,133012.3153,4/14/2019
1555113600,76.35,81.63,78.91,77.9,121572.7828,4/13/2019
1555027200,75.44,81.2,79.22,78.92,172719.045,4/12/2019
1554940800,75.33,88.9,88.43,79.23,347528.637,4/11/2019
1554854400,86.51,91.99,86.73,88.43,199622.2427,4/10/2019
1554768000,83.81,89.7,89.49,86.89,170699.0205,4/9/2019
1554681600,86.58,94.36,91.9,89.49,276668.6992,4/8/2019
1554595200,89.12,95.4,92.32,91.88,252400.7236,4/7/2019
1554508800,85.31,97.88,88.88,92.37,391376.7127,4/6/2019
